study_m,Month,year,OBDs,phase,int_carb_asp,int_targ_screen,int_screen_all,int_hand,int_asp,bedocc,hh_adherence,hh_trained,abhr,rectalswab,carbapenem,fq,3gc,pseudo_3gc,other_monitor_abx,all_monitor_abx,gmneg_all_clinical,ecoli_ccs_all_clinical,ecoli_esbl_all_clinical,mssa_all_clinical,mrsa_all_clinical,mssa_all_bsi,mrsa_all_bsi,gmneg_all_bsi,ecoli_ccs_all_bsi,ecoli_esbl_all_bsi,kp_all_clinical,"kp_all_bsi
",kp_all_resp,kp_all_uti,kp_all_other,"crkp_all_bsi
",crkp_all_resp,crkp_all_uti,crkp_all_other,crkp_all_swab,crkp_all_clinical,csab_all_any,crab_all_any,cskp_all_any,crkp_all_any,cspa_all_any,crpa_all_any,csab_all_clinical,crab_all_clinical,cskp_all_clinical,crkp_all_clinical,cspa_all_clinical,crpa_all_clinical,csab_all_bsi,crab_all_bsi,cskp_all_bsi,crkp_all_bsi,cspa_all_bsi,crpa_all_bsi,csab_all_resp,crab_all_resp,cskp_all_resp,crkp_all_resp,cspa_all_resp,crpa_all_resp,csab_all_uti,crab_all_uti,cskp_all_uti,crkp_all_uti,cspa_all_uti,crpa_all_uti,csab_all_other,crab_all_other,cskp_all_other,crkp_all_other,cspa_all_other,crpa_all_other,csab_all_swab,crab_all_swab,cskp_all_swab,crkp_all_swab,cspa_all_swab,crpa_all_swab,csab_all_admswab,crab_all_admswab,cskp_all_admswab,crkp_all_admswab,cspa_all_admswab,crpa_all_admswab,csab_ho_any,crab_ho_any,cskp_ho_any,crkp_ho_any,cspa_ho_any,crpa_ho_any,csab_ho_clinical,crab_ho_clinical,cskp_ho_clinical,crkp_ho_clinical,cspa_ho_clinical,crpa_ho_clinical,csab_ho_bsi,crab_ho_bsi,cskp_ho_bsi,crkp_ho_bsi,cspa_ho_bsi,crpa_ho_bsi,csab_ho_resp,crab_ho_resp,cskp_ho_resp,crkp_ho_resp,cspa_ho_resp,crpa_ho_resp,csab_ho_uti,crab_ho_uti,cskp_ho_uti,crkp_ho_uti,cspa_ho_uti,crpa_ho_uti,csab_ho_other,crab_ho_other,cskp_ho_other,crkp_ho_other,cspa_ho_other,crpa_ho_other,csab_ho_swab,crab_ho_swab,cskp_ho_swab,crkp_ho_swab,cspa_ho_swab,crpa_ho_swab,csab_conothca_any,crab_conothca_any,cskp_conothca_any,crkp_conothca_any,cspa_conothca_any,crpa_conothca_any,csab_conothca_clinical,crab_conothca_clinical,cskp_conothca_clinical,crkp_conothca_clinical,cspa_conothca_clinical,crpa_conothca_clinical,csab_conothca_bsi,crab_conothca_bsi,cskp_conothca_bsi,crkp_conothca_bsi,cspa_conothca_bsi,crpa_conothca_bsi,csab_conothca_resp,crab_conothca_resp,cskp_conothca_resp,crkp_conothca_resp,cspa_conothca_resp,crpa_conothca_resp,csab_conothca_uti,crab_conothca_uti,cskp_conothca_uti,crkp_conothca_uti,cspa_conothca_uti,crpa_conothca_uti,csab_conothca_other,crab_conothca_other,cskp_conothca_other,crkp_conothca_other,cspa_conothca_other,crpa_conothca_other,csab_conothca_swab,crab_conothca_swab,cskp_conothca_swab,crkp_conothca_swab,cspa_conothca_swab,crpa_conothca_swab,csab_hca_all,crab_hca_all,cskp_hca_all,crkp_hca_all,cspa_hca_all,crpa_hca_all,csab_hca_clinical,crab_hca_clinical,cskp_hca_clinical,crkp_hca_clinical,cspa_hca_clinical,crpa_hca_clinical,csab_hca_bsi,crab_hca_bsi,cskp_hca_bsi,crkp_hca_bsi,cspa_hca_bsi,crpa_hca_bsi,csab_hca_resp,crab_hca_resp,cskp_hca_resp,crkp_hca_resp,cspa_hca_resp,crpa_hca_resp,csab_hca_uti,crab_hca_uti,cskp_hca_uti,crkp_hca_uti,cspa_hca_uti,crpa_hca_uti,csab_hca_other,crab_hca_other,cskp_hca_other,crkp_hca_other,cspa_hca_other,crpa_hca_other,csab_hca_swab,crab_hca_swab,cskp_hca_swab,crkp_hca_swab,cspa_hca_swab,crpa_hca_swab,csab_cohca_any,crab_cohca_any,cskp_cohca_any,crkp_cohca_any,cspa_cohca_any,crpa_cohca_any,csab_cohca_clinical,crab_cohca_clinical,cskp_cohca_clinical,crkp_cohca_clinical,cspa_cohca_clinical,crpa_cohca_clinical,csab_cohca_bsi,crab_cohca_bsi,cskp_cohca_bsi,crkp_cohca_bsi,cspa_cohca_bsi,crpa_cohca_bsi,csab_cohca_resp,crab_cohca_resp,cskp_cohca_resp,crkp_cohca_resp,cspa_cohca_resp,crpa_cohca_resp,csab_cohca_uti,crab_cohca_uti,cskp_cohca_uti,crkp_cohca_uti,cspa_cohca_uti,crpa_cohca_uti,csab_cohca_other,crab_cohca_other,cskp_cohca_other,crkp_cohca_other,cspa_cohca_other,crpa_cohca_other,csab_cohca_swab,crab_cohca_swab,cskp_cohca_swab,crkp_cohca_swab,cspa_cohca_swab,crpa_cohca_swab
32,01/08/2010,2010,14334,1,F,F,F,F,F,80,NA,NA,152,0,56.64852798,152.3,77.79,15.55741593,432.1840561,734.48,227,114,35,24,7,4,2,39,7,3,33,1,3,18,11,0,0,0,0,0,0,0,13,38,1,30,5,0,10,33,0,23,5,0,1,1,0,3,1,0,2,3,0,4,3,0,4,16,0,5,0,0,3,13,0,11,1,0,3,5,1,7,0,0,1,3,0,2,0,0,11,20,1,21,4,0,9,18,0,16,4,0,1,0,0,1,1,0,1,2,0,3,3,0,4,7,0,4,0,0,3,9,0,8,0,0,2,2,1,5,0,0,0,8,0,3,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,3,0,2,0,0,13,30,1,27,5,0,10,28,0,22,5,0,1,1,0,3,1,0,2,3,0,4,3,0,4,13,0,5,0,0,3,11,0,10,1,0,3,2,1,5,0,0,2,10,0,6,1,0,1,10,0,6,1,0,0,1,0,2,0,0,1,1,0,1,0,0,0,6,0,1,0,0,0,2,0,2,1,0,1,0,0,0,0
33,01/09/2010,2010,15131,1,F,F,F,F,F,81.2,NA,NA,217,0,43.28861278,167.47,79.77,16.65455026,426.176837,733.36,231,109,31,23,12,3,1,33,10,5,34,4,3,12,15,0,1,0,2,0,3,4,5,36,1,37,10,2,5,29,1,31,10,1,1,4,0,3,0,0,1,2,0,8,4,1,1,9,0,10,2,0,2,14,1,10,4,2,0,7,0,6,0,1,0,2,0,3,0,1,4,19,1,21,6,0,4,14,1,18,6,0,1,1,0,1,0,0,1,2,0,4,2,0,0,3,0,8,1,0,2,8,1,5,3,1,0,5,0,3,0,2,0,10,0,8,1,1,0,9,0,6,1,0,0,2,0,0,0,0,0,0,0,3,1,1,0,5,0,0,0,0,0,2,0,3,0,1,0,1,0,2,0,2,5,26,1,29,9,1,5,20,1,25,9,1,1,2,0,3,0,0,1,2,0,5,3,0,1,4,0,10,2,0,2,12,1,7,4,1,0,6,0,4,0,1,1,7,0,8,3,1,1,6,0,7,3,1,0,1,0,2,0,0,0,0,0,1,1,0,1,1,0,2,1,0,0,4,0,2,1,0,0,1,0,1,0
34,01/10/2010,2010,18416,1,F,F,F,F,F,85.3,NA,NA,233,0,49.79365769,178.87,80.96,13.35794961,445.9483927,768.93,224,115,35,26,21,2,4,26,7,4,33,4,2,15,12,0,0,0,0,0,0,0,18,34,0,31,7,0,16,33,0,30,6,0,1,4,0,0,2,0,5,4,0,10,2,0,5,13,0,7,2,0,5,12,0,13,0,0,2,1,0,1,1,0,0,0,0,0,0,0,15,18,0,19,6,0,13,17,0,18,5,0,1,2,0,0,2,0,3,4,0,5,2,0,5,5,0,5,1,0,4,6,0,8,0,0,2,1,0,1,1,0,0,11,0,6,0,0,0,11,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,5,0,3,0,0,0,0,0,0,0,0,18,23,0,25,7,0,16,22,0,24,6,0,1,3,0,0,2,0,5,4,0,8,2,0,5,8,0,6,2,0,5,7,0,10,0,0,2,1,0,1,1,0,3,5,0,6,1,0,3,5,0,6,1,0,0,1,0,0,0,0,2,0,0,3,0,0,0,3,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0
35,01/11/2010,2010,19144,1,F,F,F,F,F,88.7,NA,NA,186,0,45.54951943,188.88,82.17,11.96197242,470.3485081,798.91,245,134,36,17,8,1,2,39,7,8,30,4,4,15,7,0,0,1,1,0,2,6,10,33,2,28,10,5,9,30,2,28,9,0,1,6,0,1,0,2,3,5,0,9,1,0,3,13,1,6,4,3,2,6,1,12,4,1,1,3,0,0,1,1,1,2,0,0,1,3,9,22,2,12,6,3,9,21,2,12,6,0,1,5,0,0,0,1,3,3,0,3,0,0,3,7,1,1,3,2,2,6,1,8,3,0,0,1,0,0,0,2,1,9,0,4,1,1,0,7,0,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,1,1,1,0,0,0,3,0,1,1,2,0,0,0,4,9,24,2,24,9,4,9,23,2,24,8,0,1,5,0,1,0,2,3,4,0,9,1,0,3,8,1,5,3,2,2,6,1,9,4,0,0,1,0,0,1,1,0,2,0,12,3,1,0,2,0,12,2,0,0,0,0,1,0,1,0,1,0,6,1,0,0,1,0,4,0,0,0,0,0,1,1,0,0,0,0,0,1
36,01/12/2010,2010,14995,1,F,F,F,F,F,87.2,NA,NA,202,0,42.68089363,192.66,84.49,10.93697899,502.3421274,833.11,187,107,19,21,9,5,0,28,11,1,21,1,2,8,10,0,0,1,0,0,1,0,11,20,0,22,11,0,10,18,0,21,10,0,0,0,0,2,1,0,6,2,0,4,4,0,1,5,0,8,0,0,3,11,0,7,5,0,1,2,0,1,1,0,0,0,0,0,0,0,10,16,0,18,9,0,9,14,0,17,8,0,0,0,0,1,1,0,6,2,0,4,3,0,1,4,0,7,0,0,2,8,0,5,4,0,1,2,0,1,1,0,1,4,0,2,0,0,1,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,10,16,0,20,11,0,9,14,0,19,10,0,0,0,0,1,1,0,6,2,0,4,4,0,1,4,0,8,0,0,2,8,0,6,5,0,1,2,0,1,1,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
37,01/01/2011,2011,16964,1,F,F,F,F,F,86.3,NA,NA,169,0,40.08488564,198.66,87.77,13.67601981,478.7590946,818.95,177,100,28,19,10,3,2,35,5,3,13,0,0,10,3,0,0,0,0,0,0,0,11,19,0,20,12,0,11,17,0,18,12,0,1,1,0,1,1,0,5,1,0,6,1,0,2,11,0,5,9,0,3,4,0,6,1,0,0,2,0,2,0,0,0,1,0,1,0,0,10,13,0,14,10,0,10,12,0,13,10,0,1,1,0,1,1,0,5,1,0,3,1,0,2,7,0,3,7,0,2,3,0,6,1,0,0,1,0,1,0,0,1,3,0,5,1,0,1,2,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,10,16,0,15,11,0,10,15,0,13,11,0,1,1,0,1,1,0,5,1,0,3,1,0,2,10,0,3,8,0,2,3,0,6,1,0,0,1,0,2,0,0,0,3,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
38,01/02/2011,2011,16963,1,F,F,F,F,F,88.3,NA,NA,215,0,43.38855155,196.66,84.6,17.74450274,458.6269457,801.02,187,93,26,28,13,8,2,23,8,1,18,0,2,14,2,0,0,0,0,0,0,0,8,17,0,35,13,0,8,17,0,34,12,0,4,0,0,2,2,0,2,2,0,8,3,0,1,13,0,6,6,0,1,2,0,18,1,0,0,0,0,1,1,0,0,0,0,0,0,0,7,10,0,26,12,0,7,10,0,25,11,0,4,0,0,1,2,0,2,2,0,6,3,0,1,7,0,6,6,0,0,1,0,12,0,0,0,0,0,1,1,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,14,0,32,13,0,8,14,0,31,12,0,4,0,0,2,2,0,2,2,0,7,3,0,1,10,0,6,6,0,1,2,0,16,1,0,0,0,0,1,1,0,1,4,0,6,1,0,1,4,0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0
39,01/03/2011,2011,19149,1,F,F,F,F,F,85.5,NA,NA,197,0,43.39652201,186.48,86.69,14.51772939,457.9557486,789.04,257,135,40,31,17,3,5,16,11,3,24,2,3,11,8,1,0,3,1,0,5,1,10,25,1,34,12,1,10,22,1,31,12,0,0,2,0,2,2,1,7,4,0,8,2,0,1,9,0,12,4,0,2,7,1,9,4,0,0,3,0,3,0,0,0,1,0,2,0,1,9,16,0,20,11,1,9,14,0,19,11,0,0,0,0,1,2,1,6,3,0,5,2,0,1,6,0,7,4,0,2,5,0,6,3,0,0,2,0,1,0,0,1,2,0,8,0,0,1,2,0,6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,1,9,23,1,26,12,1,9,20,1,25,12,0,0,1,0,2,2,1,6,4,0,7,2,0,1,8,0,8,4,0,2,7,1,8,4,0,0,3,0,1,0,0,0,7,1,6,1,0,0,6,1,6,1,0,0,1,0,1,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,2,1,2,1,0,0,1,0,0,0
40,01/04/2011,2011,17893,1,F,F,F,F,F,84,NA,NA,163,0,42.25115967,178.9,83.16,17.7723132,454.9265271,777.01,213,113,33,41,13,9,2,23,10,8,24,5,3,12,4,0,0,2,0,0,2,0,12,23,1,27,16,0,12,23,1,25,16,0,1,4,0,0,2,0,7,5,0,12,5,0,1,9,1,11,6,0,3,5,0,2,3,0,0,0,0,2,0,0,0,0,0,2,0,0,11,16,1,13,11,0,11,16,1,13,11,0,1,2,0,0,2,0,6,5,0,7,3,0,1,5,1,6,3,0,3,4,0,0,3,0,0,0,0,0,0,0,1,4,0,10,2,0,1,4,0,8,2,0,0,1,0,0,0,0,1,0,0,2,2,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,11,19,1,17,14,0,11,19,1,17,14,0,1,3,0,0,2,0,6,5,0,10,3,0,1,6,1,7,6,0,3,5,0,0,3,0,0,0,0,0,0,0,0,3,0,4,3,0,0,3,0,4,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
41,01/05/2011,2011,18962,1,F,F,F,F,F,83,NA,NA,229,0,41.18763843,167.76,78.89,10.86383293,470.2485286,768.95,215,125,28,33,8,6,1,27,14,7,19,4,2,11,2,0,1,3,0,0,4,0,11,19,4,44,5,0,11,16,4,37,4,0,2,4,0,4,0,0,5,1,1,15,4,0,2,9,3,8,0,0,2,2,0,10,0,0,0,3,0,7,1,0,0,0,0,5,0,0,10,12,1,23,2,0,10,9,1,21,1,0,2,1,0,0,0,0,4,0,1,11,1,0,2,7,0,3,0,0,2,1,0,7,0,0,0,3,0,2,1,0,0,5,3,13,0,0,0,5,3,9,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,1,3,4,0,0,0,1,0,2,0,0,0,0,0,4,0,0,11,14,1,31,5,0,11,11,1,28,4,0,2,2,0,2,0,0,5,0,1,14,4,0,2,8,0,4,0,0,2,1,0,8,0,0,0,3,0,3,1,0,1,2,0,8,3,0,1,2,0,7,3,0,0,1,0,2,0,0,1,0,0,3,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
42,01/06/2011,2011,18188,1,F,F,F,F,F,83.5,NA,NA,223,0,44.47987684,163.07,78.9,19.68330768,462.0868155,768.22,230,131,33,22,5,3,2,34,13,3,26,3,3,13,7,0,0,3,1,0,4,1,6,26,3,25,7,1,5,24,3,25,7,1,1,3,0,1,2,0,2,3,0,6,2,0,0,12,2,10,2,0,2,6,1,8,1,0,1,2,0,0,0,0,0,0,0,0,0,0,6,16,1,14,5,0,5,14,1,14,5,0,1,2,0,0,2,0,2,2,0,4,1,0,0,7,0,7,2,0,2,3,1,3,0,0,1,2,0,0,0,1,0,7,1,6,0,1,0,7,1,6,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,2,1,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,6,19,2,19,7,0,5,17,2,19,7,0,1,2,0,1,2,0,2,2,0,4,2,0,0,10,1,9,2,0,2,3,1,5,1,0,1,2,0,0,0,0,0,3,1,5,2,0,0,3,1,5,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0
43,01/07/2011,2011,16985,1,F,F,F,F,F,84.7,NA,NA,149,0,43.39122755,164.26,79.78,18.66352664,464.0352458,770.13,235,120,25,26,8,3,0,39,9,2,35,3,3,24,5,1,0,10,0,8,11,0,12,27,15,36,14,0,10,26,11,35,13,0,2,2,1,3,2,0,5,5,1,9,2,0,2,15,9,8,6,0,1,4,0,15,3,0,2,1,4,1,1,0,0,0,0,1,1,0,6,15,13,21,10,0,4,14,9,21,10,0,2,1,1,1,2,0,1,4,1,7,2,0,0,7,7,5,5,0,1,2,0,8,1,0,2,1,4,0,0,0,4,5,1,9,1,0,4,5,1,8,1,0,0,0,0,2,0,0,3,1,0,2,0,0,1,3,1,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0,8,22,14,27,13,0,6,21,10,27,12,0,2,2,1,1,2,0,2,4,1,7,2,0,1,12,8,8,6,0,1,3,0,11,2,0,2,1,4,0,1,0,2,7,1,6,3,0,2,7,1,6,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5,1,3,1,0,0,1,0,3,1,0,0,0,0,0,1
44,01/08/2011,2011,14220,1,F,F,F,F,F,84,NA,NA,151,0,48.87482419,170.04,77.78,18.77637131,453.4988045,768.97,228,104,23,26,15,5,2,31,8,5,43,5,5,20,13,2,1,6,5,11,14,2,14,27,17,30,15,2,11,23,11,29,11,0,0,2,2,2,2,0,8,4,0,6,2,1,1,12,5,9,6,1,2,5,4,12,1,0,3,4,6,1,4,0,1,2,0,1,0,2,11,18,14,22,10,2,9,16,8,22,6,0,0,2,2,2,0,0,7,4,0,3,2,1,0,7,3,7,3,1,2,3,3,10,1,0,2,2,6,0,4,0,2,1,1,3,2,0,1,1,1,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,2,12,26,16,27,13,2,10,22,10,27,9,0,0,2,2,2,2,0,7,4,0,5,2,1,1,11,5,9,4,1,2,5,3,11,1,0,2,4,6,0,4,0,1,8,2,5,3,0,1,6,2,5,3,0,0,0,0,0,2,0,0,0,0,2,0,0,1,4,2,2,1,0,0,2,0,1,0,0,0,2,0,0,0
45,01/09/2011,2011,16120,1,F,F,F,F,F,86.2,NA,NA,216,180,45.5955335,187.59,73.14,18.85856079,431.5259057,756.71,227,108,28,20,12,3,2,28,12,5,47,9,3,26,9,1,2,8,2,11,13,1,12,41,18,28,16,0,10,37,11,25,13,0,1,9,1,1,1,0,5,4,1,7,3,0,4,16,8,6,9,0,0,8,1,11,0,1,2,4,7,3,3,0,0,1,0,0,1,1,11,23,16,17,11,0,9,20,9,14,9,0,1,3,1,0,1,0,5,2,1,5,2,0,3,12,6,4,6,0,0,3,1,5,0,1,2,3,7,3,2,0,0,13,1,7,0,0,0,13,1,7,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,3,1,1,0,0,0,5,0,4,0,0,0,0,0,0,0,1,12,28,17,21,16,0,10,24,10,18,13,0,1,5,1,1,1,0,5,3,1,5,3,0,4,13,7,5,9,0,0,3,1,7,0,1,2,4,7,3,3,0,1,5,1,4,5,0,1,4,1,4,4,0,0,2,0,1,0,0,0,1,0,0,1,0,1,1,1,1,3,0,0,0,0,2,0,0,0,1,0,0,1
46,01/10/2011,2011,18317,1,F,F,F,F,F,88.3,NA,NA,206,200,49.78981274,178.85,70.37,19.76306164,470.1571256,788.93,219,103,23,37,11,5,2,31,10,3,41,5,7,18,11,2,2,6,2,9,12,8,10,26,12,35,10,6,9,25,7,34,9,1,2,3,2,0,0,0,2,6,1,9,3,1,4,9,3,8,3,4,1,7,1,17,3,2,1,1,5,1,1,0,0,1,0,0,1,7,8,14,11,19,4,5,7,14,6,18,4,1,2,2,1,0,0,0,2,3,1,5,1,0,2,5,3,4,2,4,1,4,1,9,1,2,1,0,5,1,0,0,0,6,0,11,1,0,0,5,0,11,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,3,0,0,0,3,0,5,0,0,0,1,0,0,0,8,10,20,12,24,9,6,9,20,7,23,8,1,2,3,2,0,0,0,2,5,1,6,2,1,4,8,3,5,3,4,1,4,1,12,3,2,1,0,5,1,1,1,2,6,1,5,5,1,2,6,1,5,4,0,0,1,1,0,0,0,0,2,0,1,1,1,2,3,0,1,1,0,0,0,0,3,2,0,0,0,0,0,1
47,01/11/2011,2011,18637,1,F,F,F,F,F,89.7,NA,3.33,195,180,50.06170521,180.29,68.9,20.06760745,480.7706873,800.09,233,126,30,29,6,6,1,35,8,2,38,4,3,24,7,1,0,12,2,9,15,1,9,23,22,24,10,1,8,22,13,23,7,0,2,3,1,0,0,0,5,5,0,9,0,0,0,10,11,7,1,1,1,4,1,7,6,0,1,1,9,1,3,0,0,0,3,0,0,1,7,11,14,16,9,1,6,10,8,15,6,0,2,0,0,0,0,0,3,3,0,7,0,0,0,4,8,4,0,1,1,3,0,4,6,0,1,1,6,1,3,0,1,6,4,6,0,0,1,6,2,6,0,0,0,2,1,0,0,0,1,1,0,2,0,0,0,3,1,2,0,0,0,0,0,2,0,0,0,0,2,0,0,1,8,17,18,18,10,1,7,16,11,17,7,0,2,1,0,0,0,0,4,4,0,7,0,0,0,7,10,5,1,1,1,4,1,5,6,0,1,1,7,1,3,0,1,6,4,2,1,0,1,6,3,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,2,1,1,0,0,1,1,1,0,0,0,0,1,0,0
48,01/12/2011,2011,19143,1,F,F,F,F,F,90.2,NA,3.33,226,190,43.77579272,187.95,64.46,20.05955179,443.2946555,759.54,182,96,20,26,10,10,0,29,5,2,23,1,3,15,4,1,0,3,0,7,4,0,6,25,7,21,15,0,2,22,2,19,11,0,0,0,1,1,1,0,1,6,0,5,3,0,0,12,1,7,6,0,1,4,0,6,1,0,4,3,5,2,4,0,0,2,0,1,0,0,5,10,7,15,12,0,1,9,2,14,8,0,0,0,1,0,0,0,0,1,0,5,3,0,0,5,1,5,4,0,1,3,0,4,1,0,4,1,5,1,4,0,1,8,0,6,0,0,1,8,0,5,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,3,0,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,5,17,7,15,15,0,1,14,2,14,11,0,0,0,1,0,1,0,0,2,0,5,3,0,0,9,1,5,6,0,1,3,0,4,1,0,4,3,5,1,4,0,0,7,0,0,3,0,0,5,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
49,01/01/2012,2012,16043,1,F,F,F,F,F,98.3,NA,3.33,141,200,54.47858879,197.47,69.69,18.26341707,495.5079941,835.41,213,108,26,25,11,5,3,27,6,2,38,3,6,25,4,3,2,8,0,13,13,1,12,25,19,23,17,1,7,25,10,20,11,0,0,1,2,1,2,0,4,4,3,3,4,0,1,16,5,5,5,1,2,4,0,11,0,0,5,0,9,3,6,0,2,0,1,0,1,1,8,12,13,16,12,1,5,12,5,13,7,0,0,1,1,1,0,0,3,2,3,2,3,0,0,7,1,3,4,1,2,2,0,7,0,0,3,0,8,3,5,0,1,7,1,5,2,0,1,7,1,5,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,6,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,11,18,18,18,15,1,6,18,9,15,10,0,0,1,1,1,1,0,3,3,3,3,4,0,1,10,5,3,5,1,2,4,0,8,0,0,5,0,9,3,5,0,3,6,5,2,3,0,1,6,4,2,3,0,0,0,0,0,1,0,0,1,0,1,1,0,1,3,4,0,1,0,0,2,0,1,0,0,2,0,1,0,0
50,01/02/2012,2012,18669,1,F,F,F,F,F,96.7,NA,3.33,163,230,45.4764583,194.76,70.76,31.49606299,497.9274787,840.42,191,98,25,25,6,3,0,20,7,2,15,1,3,9,2,0,2,4,0,9,6,0,15,16,14,28,10,0,10,13,5,27,7,0,1,1,0,1,0,0,5,3,1,6,3,0,3,7,4,11,2,0,1,2,0,9,2,0,5,3,9,1,3,0,0,2,0,1,1,0,15,7,12,21,7,0,10,6,3,21,5,0,1,0,0,1,0,0,5,3,0,6,2,0,3,2,3,8,1,0,1,1,0,6,2,0,5,1,9,0,2,0,0,4,1,5,1,0,0,3,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,1,0,0,1,0,15,12,13,23,9,0,10,10,4,22,7,0,1,0,0,1,0,0,5,3,0,6,3,0,3,5,4,8,2,0,1,2,0,7,2,0,5,2,9,1,2,0,0,5,1,2,2,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0
51,01/03/2012,2012,18926,1,F,F,F,F,F,95.6,NA,3.33,219,265,57.96259114,146.1,82.58,29.06055162,482.0968572,797.8,198,107,20,28,3,8,0,28,8,5,29,5,3,15,6,2,1,10,4,22,17,1,13,18,29,31,14,0,9,15,12,27,10,0,4,3,2,1,0,0,3,4,2,8,5,0,1,4,6,13,4,0,1,4,2,5,1,1,4,3,17,4,4,0,1,0,2,0,0,1,10,12,22,24,8,0,7,9,7,20,4,0,4,1,1,1,0,0,2,3,2,5,2,0,0,1,3,9,2,0,1,4,1,5,0,1,3,3,15,4,4,0,1,3,2,3,2,0,1,3,2,3,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,12,15,27,28,12,0,8,12,10,24,8,0,4,2,2,1,0,0,2,3,2,7,5,0,1,3,5,11,2,0,1,4,1,5,1,1,4,3,17,4,4,0,2,3,5,4,4,0,1,3,3,4,4,0,0,1,1,0,0,0,0,0,0,2,3,0,1,2,2,2,0,0,0,0,0,0,1,0,1,0,2,0,0
52,01/04/2012,2012,17811,1,F,F,F,F,F,91.6,NA,3.33,213,300,52.77637415,170.46,82.59,26.16360676,540.3800191,872.37,210,124,24,22,9,3,2,18,11,2,31,9,4,11,7,6,1,4,3,15,14,1,17,20,27,21,17,1,15,19,15,19,9,0,3,3,6,0,1,0,5,3,5,9,2,0,3,9,2,6,1,1,4,4,2,4,5,0,2,1,12,2,8,0,0,0,1,0,2,1,13,11,24,17,13,1,11,10,13,15,7,0,3,1,6,0,1,0,4,2,5,7,1,0,1,4,0,5,1,1,3,3,2,3,4,0,2,1,11,2,6,0,2,4,1,2,2,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2,1,15,16,26,19,15,1,13,15,15,17,9,0,3,3,6,0,1,0,5,3,5,8,2,0,2,6,2,6,1,1,3,3,2,3,5,0,2,1,11,2,6,0,2,5,2,2,2,0,2,5,2,2,2,0,0,2,0,0,0,0,1,1,0,1,1,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
